Kirja;Laji;Nimeke;Tekijä;ISBN;Vuosi;Kvartaali;Lainauskerrat
aikuistenkirjat;lainaus+uusinnat;Kangastus 38 ;Westö, Kjell ;9789510000000;2014;1;2549
aikuistenkirjat;lainaus+uusinnat;Rautakolmio ;Lehtolainen, Leena ;9789510000000;2014;1;2368
aikuistenkirjat;lainaus+uusinnat;Luonnon laki ;Hotakainen, Kari ;9789520000000;2014;1;2327
aikuistenkirjat;lainaus+uusinnat;Pääoma : romaani, requiem ;Snellman, Anja ;9789510000000;2014;1;2028
aikuistenkirjat;lainaus+uusinnat;Omertan liitto ;Remes, Ilkka ;9789510000000;2014;1;1956
aikuistenkirjat;lainaus+uusinnat;Ja vuoret kaikuivat ;Hosseini, Khaled ;9789510000000;2014;1;1946
aikuistenkirjat;lainaus+uusinnat;Taivaslaulu ;Rauhala, Pauliina ;9789510000000;2014;1;1890
aikuistenkirjat;lainaus+uusinnat;Kun kyyhkyset katosivat ;Oksanen, Sofi ;9789520000000;2014;1;1813
aikuistenkirjat;lainaus+uusinnat;Poliisi ;Nesbø, Jo ;9789510000000;2014;1;1706
aikuistenkirjat;lainaus+uusinnat;Esikoinen : romaani ;Tervo, Jari ;9789510000000;2014;1;1689
aikuistenkirjat;lainaus+uusinnat;Rakastaja ;Pakkanen, Outi ;9789510000000;2014;1;1667
aikuistenkirjat;lainaus+uusinnat;Ajojahti ;Marklund, Liza ;9789510000000;2014;1;1637
aikuistenkirjat;lainaus+uusinnat;Jokapäiväinen elämämme ;Pelo, Riikka ;9789520000000;2014;1;1623
aikuistenkirjat;lainaus+uusinnat;Jää ;Lundberg, Ulla-Lena ;9789520000000;2014;1;1617
aikuistenkirjat;lainaus+uusinnat;Kunkku : iloittelu ;Kyrö, Tuomas ;9789520000000;2014;1;1599
aikuistenkirjat;lainaus+uusinnat;Enkelintekijä ;Läckberg, Camilla ;9789510000000;2014;1;1512
aikuistenkirjat;lainaus+uusinnat;Samoilla silmillä ;Franzén, Peter ;9789510000000;2014;1;1467
aikuistenkirjat;lainaus+uusinnat;Kuollut kulma ;Holt, Anne ;9789510000000;2014;1;1458
aikuistenkirjat;lainaus+uusinnat;Nukkumatti : rikosromaani ;Kepler, Lars ;9789510000000;2014;1;1410
aikuistenkirjat;lainaus+uusinnat;Keinulaudalla : romaani ;Storgård, Päivi ;9789520000000;2014;1;1261
aikuistenkirjat;lainaus+uusinnat;Kuolema Ehtoolehdossa ;Lindgren, Minna ;9789520000000;2014;1;1192
aikuistenkirjat;lainaus+uusinnat;Vieras ;Pulkkinen, Riikka ;9789510000000;2014;1;1179
aikuistenkirjat;lainaus+uusinnat;Hippa ;Rimminen, Mikko ;9789520000000;2014;1;1168
aikuistenkirjat;lainaus+uusinnat;Levantin kyy ;Rönkä, Matti ;9789510000000;2014;1;1166
aikuistenkirjat;lainaus+uusinnat;Kätilö : romaani ;Kettu, Katja ;9789510000000;2014;1;1157
aikuistenkirjat;lainaus+uusinnat;Inferno ;Brown, Dan ;9789510000000;2014;1;1136
aikuistenkirjat;lainaus+uusinnat;Marionetit : romaani ;Hämeen-Anttila, Virpi ;9789510000000;2014;1;1037
aikuistenkirjat;lainaus+uusinnat;Käen kutsu ;Galbraith, Robert ;9789510000000;2014;1;1031
aikuistenkirjat;lainaus+uusinnat;Me, Keisarinna : romaani ;Hirvisaari, Laila ;9789510000000;2014;1;1027
aikuistenkirjat;lainaus+uusinnat;Kiltti tyttö ;Flynn, Gillian ;9789510000000;2014;1;1020
aikuistenkirjat;lainaus+uusinnat;Haudattu ;Mankell, Henning ;9789510000000;2014;1;1019
aikuistenkirjat;lainaus+uusinnat;"""Et kuitenkaan usko..."" : Ville Haapasalon varhaisvuodet Venäjällä ";Haapasalo, Ville ;9789520000000;2014;1;1014
aikuistenkirjat;lainaus+uusinnat;Intiaani ;Mäki, Reijo ;9789510000000;2014;1;1006
aikuistenkirjat;lainaus+uusinnat;Mahdoton menestys : kasvun paikkana Nokia ;Ollila, Jorma ;9789510000000;2014;1;1000
aikuistenkirjat;lainaus+uusinnat;Iiris Lempivaaran levoton ja painava sydän ;Pulkkinen, Riikka ;9789510000000;2014;1;991
aikuistenkirjat;lainaus+uusinnat;Terminaali : romaani ;Raittila, Hannu ;9789520000000;2014;1;944
aikuistenkirjat;lainaus+uusinnat;Valepoliisi ;Sipilä, Jarkko ;9789520000000;2014;1;937
aikuistenkirjat;lainaus+uusinnat;Vaarallinen leikki ;Jungstedt, Mari ;9789510000000;2014;1;924
aikuistenkirjat;lainaus+uusinnat;Nainen katolla ;Vilkkumaa, Maija ;9789530000000;2014;1;916
aikuistenkirjat;lainaus+uusinnat;Valepotilas ;James, P. D. ;9789510000000;2014;1;915
aikuistenkirjat;lainaus+uusinnat;Toinen peto ;Soininvaara, Taavi ;9789510000000;2014;1;914
aikuistenkirjat;lainaus+uusinnat;Totuus taivaasta : tiedemiehen silmiä avaava kuolemanrajakokemus ;Alexander, Eben ;9789510000000;2014;1;912
aikuistenkirjat;lainaus+uusinnat;Lavatähti ja kirjamies : rakkauskertomus ;Rajala, Panu ;9789510000000;2014;1;904
aikuistenkirjat;lainaus+uusinnat;Haudan takaa ;Jansson, Anna ;9789510000000;2014;1;902
aikuistenkirjat;lainaus+uusinnat;Wahlroo$ : epävirallinen elämäkerta ;;9789520000000;2014;1;892
aikuistenkirjat;lainaus+uusinnat;Vihan sukua ;Jokinen, Seppo ;9789520000000;2014;1;882
aikuistenkirjat;lainaus+uusinnat;Hytti nro 6 : kertomus ;Liksom, Rosa ;9789510000000;2014;1;852
aikuistenkirjat;lainaus+uusinnat;Seuraneiti ;Utrio, Kaari ;9789530000000;2014;1;852
aikuistenkirjat;lainaus+uusinnat;Morsiuskamari ;Lehtinen, Tuija ;9789510000000;2014;1;811
aikuistenkirjat;lainaus+uusinnat;Kuolematon ;Kilpi, Marko ;9789510000000;2014;1;807
aikuistenkirjat;lainaus+uusinnat;Paimentyttö ;Mustonen, Enni ;9789510000000;2014;1;788
aikuistenkirjat;lainaus+uusinnat;Iso ;Hiltunen, Pekka ;9789510000000;2014;1;786
aikuistenkirjat;lainaus+uusinnat;Toinen kerros ;Pakkanen, Outi ;9789510000000;2014;1;784
aikuistenkirjat;lainaus+uusinnat;Majakanvartija ;Läckberg, Camilla ;9789510000000;2014;1;773
aikuistenkirjat;lainaus+uusinnat;Turvasatama ;Leon, Donna ;9789510000000;2014;1;773
aikuistenkirjat;lainaus+uusinnat;Älä koskaan pyyhi kyyneleitä paljain käsin. 1 : Rakkaus ;Gardell, Jonas ;9789510000000;2014;1;773
aikuistenkirjat;lainaus+uusinnat;Paljaat luut ;Cornwell, Patricia ;9789510000000;2014;1;766
aikuistenkirjat;lainaus+uusinnat;Likka, äite ja rouva Obama : episodiromaani ;Nopola, Sinikka ;9789510000000;2014;1;765
aikuistenkirjat;lainaus+uusinnat;Tulitodistaja : rikosromaani ;Kepler, Lars ;9789510000000;2014;1;763
aikuistenkirjat;lainaus+uusinnat;Aave ;Nesbø, Jo ;9789510000000;2014;1;740
aikuistenkirjat;lainaus+uusinnat;Ylösnousemus ;Remes, Ilkka ;9789510000000;2014;1;740
aikuistenkirjat;lainaus+uusinnat;Kallis elämä : kertomuksia ;Munro, Alice ;9789510000000;2014;1;739
aikuistenkirjat;lainaus+uusinnat;Paikka vapaana ;Rowling, J. K. ;9789510000000;2014;1;736
aikuistenkirjat;lainaus+uusinnat;Leijonakuningas : komisario Ariel Kafkan tutkimuksia ;Nykänen, Harri ;9789520000000;2014;1;736
aikuistenkirjat;lainaus+uusinnat;Murtuneet mielet : taistelu suomalaissotilaiden hermoista 1939-1945 ;Kivimäki, Ville ;9789510000000;2014;1;725
aikuistenkirjat;lainaus+uusinnat;Varjelijat ;Ohlsson, Kristina ;9789510000000;2014;1;722
aikuistenkirjat;lainaus+uusinnat;Avioliittosimulaattori ;Nieminen, Veera ;9789510000000;2014;1;707
aikuistenkirjat;lainaus+uusinnat;Kaiken takana Kekkonen ;Oranen, Raija ;9789520000000;2014;1;705
aikuistenkirjat;lainaus+uusinnat;Tii taa Taneli : jännitysromaani ;Arhippa, Pirkko ;9789520000000;2014;1;686
aikuistenkirjat;lainaus+uusinnat;Reikä ;Ala-Harja, Riikka ;9789520000000;2014;1;685
aikuistenkirjat;lainaus+uusinnat;Häähuumaa lauantaina ;McCall Smith, Alexander ;9789510000000;2014;1;684
aikuistenkirjat;lainaus+uusinnat;5:2-dieetti : syö, paastoa ja elä pidempään : alkuperäinen tri Michael Mosleyn 5:2 -paastodieetti ;Mosley, Michael ;9789510000000;2014;1;683
aikuistenkirjat;lainaus+uusinnat;Ystäväni Rasputin : romaani ;Koskinen, Juha-Pekka ;9789510000000;2014;1;679
aikuistenkirjat;lainaus+uusinnat;940 päivää isäni muistina ;Jensen, Hanna ;9789520000000;2014;1;678
aikuistenkirjat;lainaus+uusinnat;Seitsemän elämääni ;Mo, Yan ;9789510000000;2014;1;673
aikuistenkirjat;lainaus+uusinnat;Synkkä niin kuin sydämeni ;Tuomainen, Antti ;9789520000000;2014;1;672
aikuistenkirjat;lainaus+uusinnat;Marina ;Ruiz Zafón, Carlos ;9789510000000;2014;1;667
aikuistenkirjat;lainaus+uusinnat;Totta ;Pulkkinen, Riikka ;9789510000000;2014;1;665
aikuistenkirjat;lainaus+uusinnat;Seitsemän talvista päivää ;Binchy, Maeve ;9789510000000;2014;1;665
aikuistenkirjat;lainaus+uusinnat;Eikö vieläkään hyviä uutisia? ;Atkinson, Kate ;9789520000000;2014;1;661
aikuistenkirjat;lainaus+uusinnat;Talo maailman laidalla ;Edwardson, Åke ;9789520000000;2014;1;661
aikuistenkirjat;lainaus+uusinnat;Päivälehden mies ;Virkkunen, Janne ;9789510000000;2014;1;653
aikuistenkirjat;lainaus+uusinnat;Puhdistus : romaani ;Oksanen, Sofi ;9789510000000;2014;1;652
aikuistenkirjat;lainaus+uusinnat;Yli rajan ;Slaughter, Karin ;9789510000000;2014;1;650
aikuistenkirjat;lainaus+uusinnat;Sanansaattaja : kertomuksia ;Munro, Alice ;9789510000000;2014;1;642
aikuistenkirjat;lainaus+uusinnat;Mielensäpahoittaja ;Kyrö, Tuomas ;9789510000000;2014;1;642
aikuistenkirjat;lainaus+uusinnat;Puhallus ;Grisham, John ;9789510000000;2014;1;639
aikuistenkirjat;lainaus+uusinnat;Äitikortti : kirjoituksia lisääntymisestä ;Silfverberg, Anu ;9789520000000;2014;1;637
aikuistenkirjat;lainaus+uusinnat;Maihinnousu : romaani ;Ala-Harja, Riikka ;9789520000000;2014;1;633
aikuistenkirjat;lainaus+uusinnat;Köyhän lokakuu : päiväkirja ;Alakoski, Susanna ;9789520000000;2014;1;631
aikuistenkirjat;lainaus+uusinnat;Malmi, 1917 ;Linturi, Jenni ;9789520000000;2014;1;629
aikuistenkirjat;lainaus+uusinnat;Kaiken käsikirja : mitä jokaisen tulisi tietää? ;Valtaoja, Esko ;9789530000000;2014;1;628
aikuistenkirjat;lainaus+uusinnat;Säkenöivät hetket ;Kallio, Katja ;9789510000000;2014;1;627
aikuistenkirjat;lainaus+uusinnat;Nälkävuosi ;Ollikainen, Aki ;9789520000000;2014;1;623
aikuistenkirjat;lainaus+uusinnat;Piippuhylly : novelleja ;Kettu, Katja ;9789510000000;2014;1;621
aikuistenkirjat;lainaus+uusinnat;Tohtori Uni ;King, Stephen ;9789510000000;2014;1;617
aikuistenkirjat;lainaus+uusinnat;Herodes : romaani ;Sahlberg, Asko ;9789510000000;2014;1;614
aikuistenkirjat;lainaus+uusinnat;Ghana ikuisesti ;Selasi, Taiye ;9789510000000;2014;1;614
